_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7zytBv3bB-0,,"How to manage when the nucleus can't be divided into free fragments : Pradip Mohanta, 4 April, 2021","In some cases the leathery posterior plate is too stubborn to give in. This video shows, how to manage a situation like that.
The epinuclear shell has been peeled off the epinucleus in this case so the the epinuclear shell may help protect the posterior capsule to some extent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QvwuHFu6nvE,,CHATARACT WITH GRADE 3 NS LIVE STREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7YutoRPCn_E,,"P C Rent noted after eating one piece of a hard nucleus - What to do now..? 21/07/2020, P Mohanta",This surgery was being done by a colleague of mine who asked me to take over as soon as he noted the P C Rent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yU1fX2MxDDQ,,??????????? ??????? ??????? ??????? ??????? ????? ¡°???¡±? ?????????? ¨C ?????? ???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EySzchsu75U,,??????????? ??????? ??? ????????????? ????? ¡®????????¡¯? ?????????? ¨C ?????? ???????,"This poem is about worshiping lord Buddha, when king Ajatashatru  prohibited it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-kjG2JGYZ0,,??????????? ???????  ????????? ??????? ????? ¡®????? ??? ?? ????????¡¯ ? ?????????? ¨C ?????? ????????,??????? ??????? ??? ???? ?? ???????? ???? ?? ??????? ???? ??? ??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4BhZrnS-6s,,"??????? ??????????? ??????? ?????? ????????????? ?????, ?????? ??????????? ¨C ??? ?????? ???????",??????????? ??????? ????? ????? ?????? ???? ???? ?? ?????? ???? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1EgpR06sUxM,,??????? ????????? ??????? ??????? ????? ????????? ? ??????????? ¨C ?? ?????? ??????????,I do not want to be a leader of Bengal. I wish to be a cattle boy of a village.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lLPzGiP2EQM,,???? ?? ???????? ???????? ??????? ? ???? ?????? ? ?????????? ¨C ??? ?????? ???????? Bengali Poem,"I got this composition from a very close friend of mine, Pallab Kirtania. Pallab and myself did MBBS from Calcutta Medical College together in 1981-86. Then he did housejob in Medicine and Anesthesia. He is a famous professional singer at present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VhXqJrmw2mY,,Kobir Mrityu I Composed by Sunil Gangopadhyay I Recitation by Pradip Mohanta,"This is one of the best compositions of the Poet and Writer Sunil Gangopadhyay. Based on the killing of poet Lorka, the poem was composed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwse_hMz7Tc,,"Bengali poem, "" Banalata Sen""I Composed by Jibanananda Dash I Recitation by Pradip Mohanta","Dash from Dashgupta, Not Das. 
A poet who had unique ability to feel nature in depth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4y3JVU-SPQQ,,1400 Saal I Bengali Poem by Rabindranath Tagore I Recitation by Pradip Mohanta,"This poem was composed on 2ra Falgun, in 1302 (Bengali year).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YvmcU0Vk8_I,,Brahman I Composed in Bengali by Rabindranath Tagore I Recitation by Pradip Mohanta,This poem is based on a story of Chhandogya Upanishad. The poem is from "Chitra Kabyagrantha".,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qIeKb1wS3_g,,Robithakur I in Bengali I Composed by Purnendu Patri I Recitation by Pradip Mohanta,"This composition about Rabindranath Tagore depicts how emotionally his birthday is observed in Bengal, not only in the urban areas but also in the villages. He has given words to our thoughts, our emotions. 
Thakur means a deity. If all the deities of Indian Hindu culture are taken away for ever by 'Mahakal', even then Robi Thakur will remain in our bosom for ever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTfKBRqmm2g,,Chharpatra I Bengali poem I Composed by Sukanta Bhattacharya I Recitation by Pradip Mohanta,"The cry of the newborn indicates that it has the right to live on this earth which should be clean and free of pollution.  We, the old, have to leave this planet making room for the newborn. As we have some more days to walk on this earth, we must make it worthy of living,  make it green and pollution free.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n5WJwVvlhwc,,Jakhon Bristi Namlo I poem of Shakti Shakti Chattopadhyay I Recitation by Pradip Mohanta,""" Bhari byapok bristi amar buker modhye jhore"" - It rains torrentially inside my bosom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EiNb6bam3Eg,,"Tagore's Poem, Pather Badhon I Bengali I Pradip Mohanta I 10th April, 2020","This poem is from the famous novel,  Shesher Kobita by Nobel Laureate poet, Rabindranath Tagore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w6in4aCzQdU,,"Bharat-Tirtha : Composed by  Rabindranath Tagore, recited in Bengali by Pradip Mohanta",A poem of unity in diversity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veAYUAFjbYw,,"Atma-tran (Self-rescue): Gurudev Rabindranath Tagore, translated and recited by me, Pradip Mohanta","""Self-Rescue"" ( Atma-tran) by Nobe Laureate poet Rabindranath Tagore. The following translation is by me.

""It is not my prayer that you rescue  me from an adversity, I pray not to be afraid of the adversity.
I do not pray that you come and console me in my sad moments, I pray to be able to overcome the sadness.
If no one comes to help me, make me more strong.
When my life faces great losses, let me not break down.
I do not pray that you come and save me from a calamity, give me more power to save myself.
Do not decrease my burden, enable me to bear the burden.
In my happiness my gratitude towards you will be spontaneous, but in my agony let me not doubt you.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YwwfbJESLWw,,"Song No. 11 of Gitanjali ( Song Offerings) composed by R N Tagore, recited by Pradip Mohanta","God is not in Temple and He cannot be worshiped in a dark corner of a Temple. He is in the hard working peasants and labourers. If we respect them, take care of them, we worship God.
No one can be free. Because God Himself if bound to His creation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefRXBZSDAE,,"""Nirjharer Swapnobhango"", composed by Nobel Laureate R N Tagore, recited by me,  Pradip Mohanta","Awakening of a stream.
How did the rays of the sun enter into my bosom today at this dawn? How did the songs of the birds enter into the darkness of the caves? Don't know why the life in me woke up after so many days..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caSpFsG5r5E,,Song no. 10 of Gitanjali of Nobel Laureate Rabindranath Tagore - Recitation by Pradip Mohanta,"Recitation is first in English, then in Bengali. Translation is  by Poet Rabindranath Tagore himself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cKP8KaQjbVg,,Beyond Ophthalmology : Recitation of "Where the mind is without fear" by Rabindranath Tagore,"Friends, Corona virus has imprisoned us into our houses. I used to recite when I was a medical student and intern at Calcutta Medical College from 1981 to 1987.
This poem has some power to overcome fear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKgqG7v1vlA,,"Rhexis and Cleaning Visco from corneal endothelium in slow motion : Pradip Mohanta, 3rd April, 2020",This surgery was done several weeks ago.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP7ckTs4XRc,,"WE MUST WIN THE WAR AGAINST THE INVISIBLE ENEMY SARS-COV-2 : Pradip Mohanta, 1st April, 2020","We are going through a very tough time. Covid 19 pandemic has devastated the whole world. About 40,000 deaths till today. The only way to fight is social distancing..No kissing at this time please. We will overcome this calamity. Please stay home , stay healthy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eS6y9A_w984,,"""Tunnel and Chop"" for a free floating hard nucleus : Pradip Mohanta, 27th March, 2020","I do not get the strength to divide such hard nucleus if the bevel is down. But the INITIAL ENTRY HAS TO BE BEVEL-DOWN. Because, the tip does not occluded with bevel up.
So, the solution is:
ENTRY IS BEVEL-DOWN,
MAKE A TUNNEL UP TO CENTER,
COME OUT,
MAKE BEVEL-UP,
GO THROUGH THE TUNNEL AND DIVIDE THE NUCLEUS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrD49kJc4IA,,"Tough Times never last, but Tough People do : Pradip Mohanta, Ranaghat, West Bengal, India","The Corona virus pandemic, Covid-19 is really devastating. About 22,000 deaths till yesterday, about 475,000 affected people are telling us to take precautions, although it is quite late.But better late than never. Sincere thanks to our prime minister Modi ji for taking a bold decision of pan India Lockdown since yesterday, the 25th March, 2020. 
My prayer to the Government (Central as well as State) is to arrange one detection centre and one treatment  of Covid-19 at every small town or at least at every district town of India. Please vacate and convert one Hospital of every district a dedicated Covid-19 diagnosis and Treatment centre.
This is an earnest prayer,
Dr Pradip Mohanta, Ophthalmologist, Ranaghat, West Bengal, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oe05E85fXeM,,"Releasing Adherent Leucoma : Pradip Mohanta, 12th March, 2020","The pupil is peaked, and cosmetically not acceptable to the patient. The iris is elevated and there is some disturbance in drainage of aqueous humor. To get rid of all these, the iris is separated from the Leucoma.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IvwIBLKnd3M,,"RELEASABLE SUTURE : Pradip Mohanta, 12th March, 2020",It is very important to know how to apply and how to remove a RELEASABLE SUTURE. Any conjunctival cut injury can be repaired by releasable sutures. It is also applied in Trabeculectomies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cDPwnrxX0Fs,,"Recurrent Pterygium - Thought Process : Pradip Mohanta, 15th Feb, 2020",Dissection of a recurrent pterygium requires a lot of patience. We can't hurry up. Use of scissors is necessary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jCoPF-yXgBg,,Live Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RjzydoOck4A,,"Real time Soft Nucleus Management in 7 cases : Pradip Kumar Mohanta, 21 January, 2020","All these cases were done on 21st January, 2020.
------------------------------------------------
Dear Indian Colleagues,
In 2020 AIOS Election, I am a candidate for  ""member -scientific committee of AIOS"". I would like to be able to inspire the youngsters at a greater speed, with more involvement and with cordial personal touch.
Please vote and support wholeheartedly and ask your colleagues to support me.
Sincerely yours,
Pradip Mohanta ,
(Dr. Pradip Kumar Mohanta) ,
Founder Director : Netrajyoti Eye Hospital, Ranaghat, WB, India
MBBS(Cal), Ex-JR D.O. (JIPMER, Pondicherry)
MS (Ophth., PGIMER, Chandigarh)
Vitreoretinal Fellow of Sankara Nethralaya, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s4UVt5CMWRU,,"Bimanual Rotational of nucleus : When and Why - Pradip Mohanta, 1st January, 2020","Weak zonule is a known association with pseudoexfoliation.  In such cases, it is a wise decision to rotate the nucleus bimanually. Because single handed rotation  applies pressure over the posterior capsule and this pressure is transmitted to the zonule. So to respect the weak zonule ( having taken that it is weak in the given case), after adequate hydrodissection, we can adopt this technique : BIMANUAL ROTATION OF THE NUCLEUS USING TWO HOOKS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buLyBkqcSNE,,Intraoperative miosis : What is uncomfortable for you is not safe for the patient - Pradip Mohanta,"We should not hesitate to apply iris hooks or a pupil expansion device, if the pupil becomes small during surgery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL136nG1XEk,,"Be stronger than the challenge : Pradip Mohanta, 30th November, 2019","Challenges are bound to come. We must be happy that they come. As the challenges come in life, while overcoming them we become stronger than those challenges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U3jk5oxzjwQ,,PSC With NS Grade 1 Live Stream,PSC With NS Grade 1 Live Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gDz6siedMzo,,"Posterior Capsule Protector (PCP) : A unique instrument to protect the PC, 4 Nov, 2019","I designed this instrument about one year ago, but I haven't tried to make it available commercially. Please comment if it should be accessible to eye surgeons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN4mjzgrsdw,,"Body posture and Hand movements : Pradip Mohanta, 18th October, 2019",Many colleagues have asked to make a video showing hand movements and body posture. This video is for them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntNpBer4E24,,testing,YouTube Streaming Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VnIimS4AaAk,,"Real-time Nucleus management of 3 cases: Pradip Mohanta, 11th Oct, 2019","We learn more from real-time videos than edited ones. 
The main thing is: ""WE MUST DEVELOP AN INTUITION TO CONSCIOUSLY MAINTAIN THE ANTERIOR CHAMBER STABILITY AND SUBCONSCIOUSLY CONSUME THE NUCLEAR PIECES.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme1TauinG0,,"Releasable suture : Application and Removal , 23 Sept, 2019, Pradip Mohanta","For apposition of conjunctiva, releasable sutures are very good. we can remove the sutures in the OPD while the patient is seen on Slit Lamp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4nq13VQworA,,"Upgrade your Non-stereoCoaxial microscope by Omniglow : Pradip Mohanta, 22 Sept, 2019","Omniglow is a great invention by Dr Jagdeep Kakadia of Bhavnagar, Gujrat. Any nonstereocoaxial microscope can be upgraded by this device.  JK sir holds a diploma in Radio Engineering and Electronics. He takes measurement of a microscope by his scale that can measure up to 1/100th of a millimeter. And within a month he can make the customised stereocoaxial device. He is such a humble person that he has become like my elder brother.JK sir is a man of words. He will never make a false promise. He knows what will happen and whatever he says is 100% true. (Price of the Device is about INR 300,000/-) Say you have a microscope Lumera 300 with step magnification which you have bought for INR 8,95,000/- . If you get Omniglow attached to it for INR 3,00,000/- (more or less), you get a microscope whose optical part becomes as good as Lumera i which costs about INR 44,00,000/- and you save about Rs 32,00,000/-
To know more about the device please contact would-be doctor Param Kakadia (third year MBBS student), son of Dr Jagdeep Kakadia by whatsapp : +919512111100. Because JK sir is a spiritual person and a good writer in Gujrati language and does not spend much time in social media.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_mEWW0AF2E,,"Excision of Pterygium with Conjunctival Autograft : Pradip Mohanta, 15th Sept, 2019",In this case I did put a suture to avoid a gap or cleft that usually occurs between the posterior extent of the graft and adjacent host tissue. It will be clear as you watch the video. There are postoperative pictures at the end of the video.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3G5ZKWmDyLg,,Recitation of a write-up "Rabindranath" of Narayan Gangopadhyay [in Bengali],"Today is 22she Shravon, on this day in 1941, Nobel laureate Rabindranath Tagore left us for ever.
But he is with us always through his creations.
My deep regards to Him,
Pradip Mohanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i2gjYyQJ2LE,,"Iris hooks and B-HEX : Tips and Tricks... Pradip Mohanta, 12th July, 2019","Dear Indian Colleagues,
In 2020 AIOS Election, I aspire to be a ""member -scientific committee of AIOS"" to be able to inspire the youngsters at a greater speed, with more  involvement  and  with  more personal touch.
Please support wholeheartedly and ask your colleagues to support me. 
Sincerely yours,
Pradip   Mohanta ,
(Dr. Pradip Kumar Mohanta) , Founder Director : Netrajyoti Eye Hospital, Ranaghat, WB, India
MBBS(Cal), MS (Ophth., PGIMER, Chandigarh)
Vitreoretinal Fellow of Sankara Nethralaya, Chennai
Call: +919734523795, WhatsApp: +917076674212
Email:   pradipmohanta51@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyP1EKhwsck,,"When capsular tag comes out through the main incision ... P Mohanta, 9th July, 2019","Dear Indian Colleagues,
In 2020 AIOS Election, I aspire to be a ""member -scientific committee of AIOS"" to be able to inspire the youngsters at a greater speed, with more  involvement  and  with  more personal touch.
Please support wholeheartedly and ask your colleagues to support me. Please be a member of AIOS, ( if you are not yet) to support me.
Sincerely yours,
Pradip   Mohanta ,
(Dr. Pradip Kumar Mohanta) , Founder Director : Netrajyoti Eye Hospital, Ranaghat, WB, India
MBBS(Cal), MS (Ophth., PGIMER, Chandigarh)
Vitreoretinal Fellow of Sankara Nethralaya, Chennai
Call: +919734523795, WhatsApp: +917076674212
Email:   pradipmohanta51@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpcWU9RfuYk,,"Playing with double edged sword, ""Pinpoint pupil with Hard cataract"" - P Mohanta","This video is being dedicated to my friends at Agartala, Tripura, India. They have organised the midterm conference of EIZOC (East India Zonal ophthalmic congress) very well. The love, affection, emotion is overwhelming. I am glad to be a speaker in this confrence.
To share any thought, whatsapp: +917076674212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kV4z_sSCM7g,,"Develop safe hands, dear youngsters..","Wish to develop a generation of eye surgeons through my sincere efforts..
Pradip Mohanta
WhatsApp: +917076674212,   +919734523795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6qPxcXFmBm4,,"How we can use the Conjunctiva of the Pterygium itself for autograft : P Mohanta, 3rd April, 2019","If we find that the conjunctiva of the pterygium is healthy, we can definitely use this tissue for autograft. Because, it pterygium, conjunctiva is not the culprit. Subconjunctival connective tissue is the culprit.
I have done 5 cases with this technique. All are doing well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulRKaYMrSUY,,"True Glow, Galaxy Leo and Supraphob Infocus from Appasamy Associates",No financial interests. All of us are grateful to Appasamy associates. We should know what developments Appasamy R & D Team has made.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVHRIdPJ7Co,,"The TRUE GLOW Microscope from Appasamy Associates : Dr Pradip Mohanta,  17th March, 2019","A Fantastic Microscope from Appasamy Associates. 
If any person from ophthalmic equipment industry deserves Bharat Ratna, he is Mr Appasamy. His vision, mission and help to NO-CAPITAL eye surgeons has taken ophthalmology in India to a respectable height.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H_oqPOywdds,,"Managing a hard nucleus with mid-dilated pupil : Pradip Mohanta, 10th March, 2019",Many tips have been shared in this video.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wLAZHQg0aKI,,"The ""Divide and Conquer Technique"" in SLOW MOTION : 9th March, 2019,P Mohanta",This video is being dedicated to my sincere student Aleksander Jevtic from Serbia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lZTqgTVRKbQ,,"The tricks of carousel technique : Pradip Mohanta, 7th March, 2019","Unless we share what we have within us, we are going to take it straight to our graves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kor4pjHGmwY,,"Application and Removal of B-HEX : 26th Feb, 2019 -- Pradip Mohanta",The leading flange can be tucked at one go if the device enters completely into the anterior chamber. The flange on the left can be tucked through the main incision. The flange on right is tucked by the left hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMVyaiQZCQ,,"Topcon's OMS -  800 Microscope : is a good choice, SAVE 10 lakh rupees","Price of this Mmicroscope is around 20 Lakhs (INR), Zeiss Lumera i and Leica M 822 is more than 30 Lakhs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QynCbTLQZNI,,"The beautiful sun-set glow : Pradip Mohanta, 20th Feb, 2019",I still use the Leica basic (model - 651) microscope which I bought in 1999.  This provides some glow occasionally.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3aLOJL3d1o,,"Safe Removal of EPINUCLEUS : 19th Feb, 2019 : Dr Pradip Mohanta","1. Do hydro again
2. Use a blunt instrument like Simcoe cannula to bring the epinuclear sheet from periphery to center.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRLF-X5d2ME,,"A full surgery with ""Canabrava's Ring"" - Pradip Mohanta, 8th Feb, 2019","It is a beautiful device which can be used  in small pupil with Coloboma Iris..
Whatsapp : +917076674212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POZA1scINOM,,Slow demonstration of "Lens Tilt Technique" for  conquering Soft Nucleus,"One cut, two cuts,
 then, 
one more sweeping cut..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8YB9_zgJsAA,,Emulsification of the nuclear fragments in the capsular bag : Pradip Mohanta 22/01/2019,"To protect the corneal endothelium, this is the best way.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
